department_id,department_name
1,Aerospace Engineering
2,Biosciences and Bioengineering
3,Centre for Machine Intelligence and Data Science
4,Centre for Technology Alternatives for Rural Areas
5,Centre of Studies in Resources Engineering
6,Chemical Engineering
7,Chemistry
8,Civil Engineering
9,Computer Science and Engineering
10,Earth Sciences
11,Electrical Engineering
12,Energy Science and Engineering
13,Environmental Science and Engineering
14,Geoinformatics and Natural Resources Engineering
15,Humanities and Social Sciences
16,IDC School of Design
17,Industrial Engineering and Operations Research
18,Materials Manufacturing and Modeling
19,Mathematics
20,Mechanical Engineering
21,Metallurgical Engineering and Materials Science
22,Physics
23,Shailesh J. Mehta School of Management
24,Systems and Control Engineering
